year,state_or_territory,sex,name,count,rank,source_url,source_name,notes
2023,QLD,girl,Isla,285,1,https://www.theguardian.com/australia-news/2024/jan/28/australia-most-popular-baby-names-queensland-isla-oliver,Queensland 2023 registry release via Guardian,count available for rank 1
2023,QLD,girl,Charlotte,,2,https://www.theguardian.com/australia-news/2024/jan/28/australia-most-popular-baby-names-queensland-isla-oliver,Queensland 2023 registry release via Guardian,count unavailable
2023,QLD,girl,Amelia,,3,https://www.theguardian.com/australia-news/2024/jan/28/australia-most-popular-baby-names-queensland-isla-oliver,Queensland 2023 registry release via Guardian,count unavailable
2023,QLD,girl,Harper,,4,https://www.theguardian.com/australia-news/2024/jan/28/australia-most-popular-baby-names-queensland-isla-oliver,Queensland 2023 registry release via Guardian,count unavailable
2023,QLD,girl,Olivia,,5,https://www.theguardian.com/australia-news/2024/jan/28/australia-most-popular-baby-names-queensland-isla-oliver,Queensland 2023 registry release via Guardian,count unavailable
2023,QLD,boy,Oliver,451,1,https://www.theguardian.com/australia-news/2024/jan/28/australia-most-popular-baby-names-queensland-isla-oliver,Queensland 2023 registry release via Guardian,count available for rank 1
2023,QLD,boy,Noah,,2,https://www.theguardian.com/australia-news/2024/jan/28/australia-most-popular-baby-names-queensland-isla-oliver,Queensland 2023 registry release via Guardian,count unavailable
2023,QLD,boy,Henry,,3,https://www.theguardian.com/australia-news/2024/jan/28/australia-most-popular-baby-names-queensland-isla-oliver,Queensland 2023 registry release via Guardian,count unavailable
2023,QLD,boy,Theodore,,4,https://www.theguardian.com/australia-news/2024/jan/28/australia-most-popular-baby-names-queensland-isla-oliver,Queensland 2023 registry release via Guardian,count unavailable
2023,QLD,boy,Hudson,,5,https://www.theguardian.com/australia-news/2024/jan/28/australia-most-popular-baby-names-queensland-isla-oliver,Queensland 2023 registry release via Guardian,count unavailable
