year,state_or_territory,sex,name,count,rank,source_url,source_name,notes
2023,Australia,girl,Amelia,,1,https://www.babycenter.com.au/baby-names/most-popular/top-baby-names-2023,BabyCenter Australia top baby names 2023,Australia-wide BabyCenter ranking / rank only / top 100
2023,Australia,boy,Noah,,1,https://www.babycenter.com.au/baby-names/most-popular/top-baby-names-2023,BabyCenter Australia top baby names 2023,Australia-wide BabyCenter ranking / rank only / top 100
2023,Australia,girl,Isla,,2,https://www.babycenter.com.au/baby-names/most-popular/top-baby-names-2023,BabyCenter Australia top baby names 2023,Australia-wide BabyCenter ranking / rank only / top 100
2023,Australia,boy,Oliver,,2,https://www.babycenter.com.au/baby-names/most-popular/top-baby-names-2023,BabyCenter Australia top baby names 2023,Australia-wide BabyCenter ranking / rank only / top 100
2023,Australia,girl,Ava,,3,https://www.babycenter.com.au/baby-names/most-popular/top-baby-names-2023,BabyCenter Australia top baby names 2023,Australia-wide BabyCenter ranking / rank only / top 100
2023,Australia,boy,Luca,,3,https://www.babycenter.com.au/baby-names/most-popular/top-baby-names-2023,BabyCenter Australia top baby names 2023,Australia-wide BabyCenter ranking / rank only / top 100
2023,Australia,girl,Olivia,,4,https://www.babycenter.com.au/baby-names/most-popular/top-baby-names-2023,BabyCenter Australia top baby names 2023,Australia-wide BabyCenter ranking / rank only / top 100
2023,Australia,boy,Leo,,4,https://www.babycenter.com.au/baby-names/most-popular/top-baby-names-2023,BabyCenter Australia top baby names 2023,Australia-wide BabyCenter ranking / rank only / top 100
2023,Australia,girl,Lily,,5,https://www.babycenter.com.au/baby-names/most-popular/top-baby-names-2023,BabyCenter Australia top baby names 2023,Australia-wide BabyCenter ranking / rank only / top 100
2023,Australia,boy,Henry,,5,https://www.babycenter.com.au/baby-names/most-popular/top-baby-names-2023,BabyCenter Australia top baby names 2023,Australia-wide BabyCenter ranking / rank only / top 100
2023,Australia,girl,Ella,,6,https://www.babycenter.com.au/baby-names/most-popular/top-baby-names-2023,BabyCenter Australia top baby names 2023,Australia-wide BabyCenter ranking / rank only / top 100
2023,Australia,boy,Levi,,6,https://www.babycenter.com.au/baby-names/most-popular/top-baby-names-2023,BabyCenter Australia top baby names 2023,Australia-wide BabyCenter ranking / rank only / top 100
2023,Australia,girl,Charlotte,,7,https://www.babycenter.com.au/baby-names/most-popular/top-baby-names-2023,BabyCenter Australia top baby names 2023,Australia-wide BabyCenter ranking / rank only / top 100
2023,Australia,boy,Lucas,,7,https://www.babycenter.com.au/baby-names/most-popular/top-baby-names-2023,BabyCenter Australia top baby names 2023,Australia-wide BabyCenter ranking / rank only / top 100
2023,Australia,girl,Mia,,8,https://www.babycenter.com.au/baby-names/most-popular/top-baby-names-2023,BabyCenter Australia top baby names 2023,Australia-wide BabyCenter ranking / rank only / top 100
2023,Australia,boy,Charlie,,8,https://www.babycenter.com.au/baby-names/most-popular/top-baby-names-2023,BabyCenter Australia top baby names 2023,Australia-wide BabyCenter ranking / rank only / top 100
2023,Australia,girl,Ivy,,9,https://www.babycenter.com.au/baby-names/most-popular/top-baby-names-2023,BabyCenter Australia top baby names 2023,Australia-wide BabyCenter ranking / rank only / top 100
2023,Australia,boy,Hudson,,9,https://www.babycenter.com.au/baby-names/most-popular/top-baby-names-2023,BabyCenter Australia top baby names 2023,Australia-wide BabyCenter ranking / rank only / top 100
2023,Australia,girl,Evie,,10,https://www.babycenter.com.au/baby-names/most-popular/top-baby-names-2023,BabyCenter Australia top baby names 2023,Australia-wide BabyCenter ranking / rank only / top 100
2023,Australia,boy,Max,,10,https://www.babycenter.com.au/baby-names/most-popular/top-baby-names-2023,BabyCenter Australia top baby names 2023,Australia-wide BabyCenter ranking / rank only / top 100
2023,Australia,girl,Harper,,11,https://www.babycenter.com.au/baby-names/most-popular/top-baby-names-2023,BabyCenter Australia top baby names 2023,Australia-wide BabyCenter ranking / rank only / top 100
2023,Australia,boy,Jack,,11,https://www.babycenter.com.au/baby-names/most-popular/top-baby-names-2023,BabyCenter Australia top baby names 2023,Australia-wide BabyCenter ranking / rank only / top 100
2023,Australia,girl,Willow,,12,https://www.babycenter.com.au/baby-names/most-popular/top-baby-names-2023,BabyCenter Australia top baby names 2023,Australia-wide BabyCenter ranking / rank only / top 100
2023,Australia,boy,Theodore,,12,https://www.babycenter.com.au/baby-names/most-popular/top-baby-names-2023,BabyCenter Australia top baby names 2023,Australia-wide BabyCenter ranking / rank only / top 100
