year,state_or_territory,sex,name,count,rank,source_url,source_name,notes
2019,Australia,girl,Charlotte,,1,https://www.babycenter.com.au/baby-names/most-popular/top-baby-names-2019,BabyCenter Australia top baby names 2019,Australia-wide BabyCenter ranking / rank only / top 100
2019,Australia,boy,Oliver,,1,https://www.babycenter.com.au/baby-names/most-popular/top-baby-names-2019,BabyCenter Australia top baby names 2019,Australia-wide BabyCenter ranking / rank only / top 100
2019,Australia,girl,Ava,,2,https://www.babycenter.com.au/baby-names/most-popular/top-baby-names-2019,BabyCenter Australia top baby names 2019,Australia-wide BabyCenter ranking / rank only / top 100
2019,Australia,boy,Noah,,2,https://www.babycenter.com.au/baby-names/most-popular/top-baby-names-2019,BabyCenter Australia top baby names 2019,Australia-wide BabyCenter ranking / rank only / top 100
2019,Australia,girl,Olivia,,3,https://www.babycenter.com.au/baby-names/most-popular/top-baby-names-2019,BabyCenter Australia top baby names 2019,Australia-wide BabyCenter ranking / rank only / top 100
2019,Australia,boy,Leo,,3,https://www.babycenter.com.au/baby-names/most-popular/top-baby-names-2019,BabyCenter Australia top baby names 2019,Australia-wide BabyCenter ranking / rank only / top 100
2019,Australia,girl,Isla,,4,https://www.babycenter.com.au/baby-names/most-popular/top-baby-names-2019,BabyCenter Australia top baby names 2019,Australia-wide BabyCenter ranking / rank only / top 100
2019,Australia,boy,Jack,,4,https://www.babycenter.com.au/baby-names/most-popular/top-baby-names-2019,BabyCenter Australia top baby names 2019,Australia-wide BabyCenter ranking / rank only / top 100
2019,Australia,girl,Mia,,5,https://www.babycenter.com.au/baby-names/most-popular/top-baby-names-2019,BabyCenter Australia top baby names 2019,Australia-wide BabyCenter ranking / rank only / top 100
2019,Australia,boy,Lucas,,5,https://www.babycenter.com.au/baby-names/most-popular/top-baby-names-2019,BabyCenter Australia top baby names 2019,Australia-wide BabyCenter ranking / rank only / top 100
2019,Australia,girl,Amelia,,6,https://www.babycenter.com.au/baby-names/most-popular/top-baby-names-2019,BabyCenter Australia top baby names 2019,Australia-wide BabyCenter ranking / rank only / top 100
2019,Australia,boy,Charlie,,6,https://www.babycenter.com.au/baby-names/most-popular/top-baby-names-2019,BabyCenter Australia top baby names 2019,Australia-wide BabyCenter ranking / rank only / top 100
2019,Australia,girl,Willow,,7,https://www.babycenter.com.au/baby-names/most-popular/top-baby-names-2019,BabyCenter Australia top baby names 2019,Australia-wide BabyCenter ranking / rank only / top 100
2019,Australia,boy,William,,7,https://www.babycenter.com.au/baby-names/most-popular/top-baby-names-2019,BabyCenter Australia top baby names 2019,Australia-wide BabyCenter ranking / rank only / top 100
2019,Australia,girl,Evie,,8,https://www.babycenter.com.au/baby-names/most-popular/top-baby-names-2019,BabyCenter Australia top baby names 2019,Australia-wide BabyCenter ranking / rank only / top 100
2019,Australia,boy,Henry,,8,https://www.babycenter.com.au/baby-names/most-popular/top-baby-names-2019,BabyCenter Australia top baby names 2019,Australia-wide BabyCenter ranking / rank only / top 100
2019,Australia,girl,Harper,,9,https://www.babycenter.com.au/baby-names/most-popular/top-baby-names-2019,BabyCenter Australia top baby names 2019,Australia-wide BabyCenter ranking / rank only / top 100
2019,Australia,boy,Thomas,,9,https://www.babycenter.com.au/baby-names/most-popular/top-baby-names-2019,BabyCenter Australia top baby names 2019,Australia-wide BabyCenter ranking / rank only / top 100
2019,Australia,girl,Ruby,,10,https://www.babycenter.com.au/baby-names/most-popular/top-baby-names-2019,BabyCenter Australia top baby names 2019,Australia-wide BabyCenter ranking / rank only / top 100
2019,Australia,boy,Liam,,10,https://www.babycenter.com.au/baby-names/most-popular/top-baby-names-2019,BabyCenter Australia top baby names 2019,Australia-wide BabyCenter ranking / rank only / top 100
2019,Australia,girl,Ella,,11,https://www.babycenter.com.au/baby-names/most-popular/top-baby-names-2019,BabyCenter Australia top baby names 2019,Australia-wide BabyCenter ranking / rank only / top 100
2019,Australia,boy,Mason,,11,https://www.babycenter.com.au/baby-names/most-popular/top-baby-names-2019,BabyCenter Australia top baby names 2019,Australia-wide BabyCenter ranking / rank only / top 100
2019,Australia,girl,Zoe,,12,https://www.babycenter.com.au/baby-names/most-popular/top-baby-names-2019,BabyCenter Australia top baby names 2019,Australia-wide BabyCenter ranking / rank only / top 100
2019,Australia,boy,Elijah,,12,https://www.babycenter.com.au/baby-names/most-popular/top-baby-names-2019,BabyCenter Australia top baby names 2019,Australia-wide BabyCenter ranking / rank only / top 100
2019,Australia,girl,Ivy,,13,https://www.babycenter.com.au/baby-names/most-popular/top-baby-names-2019,BabyCenter Australia top baby names 2019,Australia-wide BabyCenter ranking / rank only / top 100
2019,Australia,boy,Harrison,,13,https://www.babycenter.com.au/baby-names/most-popular/top-baby-names-2019,BabyCenter Australia top baby names 2019,Australia-wide BabyCenter ranking / rank only / top 100
2019,Australia,girl,Lily,,14,https://www.babycenter.com.au/baby-names/most-popular/top-baby-names-2019,BabyCenter Australia top baby names 2019,Australia-wide BabyCenter ranking / rank only / top 100
2019,Australia,boy,Hudson,,14,https://www.babycenter.com.au/baby-names/most-popular/top-baby-names-2019,BabyCenter Australia top baby names 2019,Australia-wide BabyCenter ranking / rank only / top 100
2019,Australia,girl,Matilda,,15,https://www.babycenter.com.au/baby-names/most-popular/top-baby-names-2019,BabyCenter Australia top baby names 2019,Australia-wide BabyCenter ranking / rank only / top 100
2019,Australia,boy,Max,,15,https://www.babycenter.com.au/baby-names/most-popular/top-baby-names-2019,BabyCenter Australia top baby names 2019,Australia-wide BabyCenter ranking / rank only / top 100
2019,Australia,girl,Chloe,,16,https://www.babycenter.com.au/baby-names/most-popular/top-baby-names-2019,BabyCenter Australia top baby names 2019,Australia-wide BabyCenter ranking / rank only / top 100
2019,Australia,boy,Archie,,16,https://www.babycenter.com.au/baby-names/most-popular/top-baby-names-2019,BabyCenter Australia top baby names 2019,Australia-wide BabyCenter ranking / rank only / top 100
2019,Australia,girl,Grace,,17,https://www.babycenter.com.au/baby-names/most-popular/top-baby-names-2019,BabyCenter Australia top baby names 2019,Australia-wide BabyCenter ranking / rank only / top 100
2019,Australia,boy,Levi,,17,https://www.babycenter.com.au/baby-names/most-popular/top-baby-names-2019,BabyCenter Australia top baby names 2019,Australia-wide BabyCenter ranking / rank only / top 100
2019,Australia,girl,Isabella,,18,https://www.babycenter.com.au/baby-names/most-popular/top-baby-names-2019,BabyCenter Australia top baby names 2019,Australia-wide BabyCenter ranking / rank only / top 100
2019,Australia,boy,Luca,,18,https://www.babycenter.com.au/baby-names/most-popular/top-baby-names-2019,BabyCenter Australia top baby names 2019,Australia-wide BabyCenter ranking / rank only / top 100
