year,state_or_territory,sex,name,count,rank,source_url,source_name,notes
2017,Australia,girl,Charlotte,,1,https://www.babycenter.com.au/baby-names/most-popular/top-baby-names-2017,BabyCenter Australia top baby names 2017,Australia-wide BabyCenter ranking / rank only / top 100
2017,Australia,boy,Oliver,,1,https://www.babycenter.com.au/baby-names/most-popular/top-baby-names-2017,BabyCenter Australia top baby names 2017,Australia-wide BabyCenter ranking / rank only / top 100
2017,Australia,girl,Olivia,,2,https://www.babycenter.com.au/baby-names/most-popular/top-baby-names-2017,BabyCenter Australia top baby names 2017,Australia-wide BabyCenter ranking / rank only / top 100
2017,Australia,boy,Noah,,2,https://www.babycenter.com.au/baby-names/most-popular/top-baby-names-2017,BabyCenter Australia top baby names 2017,Australia-wide BabyCenter ranking / rank only / top 100
2017,Australia,girl,Ava,,3,https://www.babycenter.com.au/baby-names/most-popular/top-baby-names-2017,BabyCenter Australia top baby names 2017,Australia-wide BabyCenter ranking / rank only / top 100
2017,Australia,boy,Jack,,3,https://www.babycenter.com.au/baby-names/most-popular/top-baby-names-2017,BabyCenter Australia top baby names 2017,Australia-wide BabyCenter ranking / rank only / top 100
2017,Australia,girl,Isla,,4,https://www.babycenter.com.au/baby-names/most-popular/top-baby-names-2017,BabyCenter Australia top baby names 2017,Australia-wide BabyCenter ranking / rank only / top 100
2017,Australia,boy,William,,4,https://www.babycenter.com.au/baby-names/most-popular/top-baby-names-2017,BabyCenter Australia top baby names 2017,Australia-wide BabyCenter ranking / rank only / top 100
2017,Australia,girl,Mia,,5,https://www.babycenter.com.au/baby-names/most-popular/top-baby-names-2017,BabyCenter Australia top baby names 2017,Australia-wide BabyCenter ranking / rank only / top 100
2017,Australia,boy,Leo,,5,https://www.babycenter.com.au/baby-names/most-popular/top-baby-names-2017,BabyCenter Australia top baby names 2017,Australia-wide BabyCenter ranking / rank only / top 100
2017,Australia,girl,Amelia,,6,https://www.babycenter.com.au/baby-names/most-popular/top-baby-names-2017,BabyCenter Australia top baby names 2017,Australia-wide BabyCenter ranking / rank only / top 100
2017,Australia,boy,Charlie,,6,https://www.babycenter.com.au/baby-names/most-popular/top-baby-names-2017,BabyCenter Australia top baby names 2017,Australia-wide BabyCenter ranking / rank only / top 100
2017,Australia,girl,Evie,,7,https://www.babycenter.com.au/baby-names/most-popular/top-baby-names-2017,BabyCenter Australia top baby names 2017,Australia-wide BabyCenter ranking / rank only / top 100
2017,Australia,boy,Henry,,7,https://www.babycenter.com.au/baby-names/most-popular/top-baby-names-2017,BabyCenter Australia top baby names 2017,Australia-wide BabyCenter ranking / rank only / top 100
2017,Australia,girl,Harper,,8,https://www.babycenter.com.au/baby-names/most-popular/top-baby-names-2017,BabyCenter Australia top baby names 2017,Australia-wide BabyCenter ranking / rank only / top 100
2017,Australia,boy,James,,8,https://www.babycenter.com.au/baby-names/most-popular/top-baby-names-2017,BabyCenter Australia top baby names 2017,Australia-wide BabyCenter ranking / rank only / top 100
2017,Australia,girl,Zoe,,9,https://www.babycenter.com.au/baby-names/most-popular/top-baby-names-2017,BabyCenter Australia top baby names 2017,Australia-wide BabyCenter ranking / rank only / top 100
2017,Australia,boy,Hudson,,9,https://www.babycenter.com.au/baby-names/most-popular/top-baby-names-2017,BabyCenter Australia top baby names 2017,Australia-wide BabyCenter ranking / rank only / top 100
2017,Australia,girl,Ella,,10,https://www.babycenter.com.au/baby-names/most-popular/top-baby-names-2017,BabyCenter Australia top baby names 2017,Australia-wide BabyCenter ranking / rank only / top 100
2017,Australia,boy,Thomas,,10,https://www.babycenter.com.au/baby-names/most-popular/top-baby-names-2017,BabyCenter Australia top baby names 2017,Australia-wide BabyCenter ranking / rank only / top 100
2017,Australia,girl,Ruby,,11,https://www.babycenter.com.au/baby-names/most-popular/top-baby-names-2017,BabyCenter Australia top baby names 2017,Australia-wide BabyCenter ranking / rank only / top 100
2017,Australia,boy,Lucas,,11,https://www.babycenter.com.au/baby-names/most-popular/top-baby-names-2017,BabyCenter Australia top baby names 2017,Australia-wide BabyCenter ranking / rank only / top 100
2017,Australia,girl,Lily,,12,https://www.babycenter.com.au/baby-names/most-popular/top-baby-names-2017,BabyCenter Australia top baby names 2017,Australia-wide BabyCenter ranking / rank only / top 100
2017,Australia,boy,Harrison,,12,https://www.babycenter.com.au/baby-names/most-popular/top-baby-names-2017,BabyCenter Australia top baby names 2017,Australia-wide BabyCenter ranking / rank only / top 100
2017,Australia,girl,Grace,,13,https://www.babycenter.com.au/baby-names/most-popular/top-baby-names-2017,BabyCenter Australia top baby names 2017,Australia-wide BabyCenter ranking / rank only / top 100
2017,Australia,boy,Mason,,13,https://www.babycenter.com.au/baby-names/most-popular/top-baby-names-2017,BabyCenter Australia top baby names 2017,Australia-wide BabyCenter ranking / rank only / top 100
2017,Australia,girl,Chloe,,14,https://www.babycenter.com.au/baby-names/most-popular/top-baby-names-2017,BabyCenter Australia top baby names 2017,Australia-wide BabyCenter ranking / rank only / top 100
2017,Australia,boy,Harry,,14,https://www.babycenter.com.au/baby-names/most-popular/top-baby-names-2017,BabyCenter Australia top baby names 2017,Australia-wide BabyCenter ranking / rank only / top 100
2017,Australia,girl,Isabella,,15,https://www.babycenter.com.au/baby-names/most-popular/top-baby-names-2017,BabyCenter Australia top baby names 2017,Australia-wide BabyCenter ranking / rank only / top 100
2017,Australia,boy,Hunter,,15,https://www.babycenter.com.au/baby-names/most-popular/top-baby-names-2017,BabyCenter Australia top baby names 2017,Australia-wide BabyCenter ranking / rank only / top 100
2017,Australia,girl,Ivy,,16,https://www.babycenter.com.au/baby-names/most-popular/top-baby-names-2017,BabyCenter Australia top baby names 2017,Australia-wide BabyCenter ranking / rank only / top 100
2017,Australia,boy,Harvey,,16,https://www.babycenter.com.au/baby-names/most-popular/top-baby-names-2017,BabyCenter Australia top baby names 2017,Australia-wide BabyCenter ranking / rank only / top 100
2017,Australia,girl,Willow,,17,https://www.babycenter.com.au/baby-names/most-popular/top-baby-names-2017,BabyCenter Australia top baby names 2017,Australia-wide BabyCenter ranking / rank only / top 100
2017,Australia,boy,Archie,,17,https://www.babycenter.com.au/baby-names/most-popular/top-baby-names-2017,BabyCenter Australia top baby names 2017,Australia-wide BabyCenter ranking / rank only / top 100
2017,Australia,girl,Evelyn,,18,https://www.babycenter.com.au/baby-names/most-popular/top-baby-names-2017,BabyCenter Australia top baby names 2017,Australia-wide BabyCenter ranking / rank only / top 100
2017,Australia,boy,Liam,,18,https://www.babycenter.com.au/baby-names/most-popular/top-baby-names-2017,BabyCenter Australia top baby names 2017,Australia-wide BabyCenter ranking / rank only / top 100
2017,Australia,girl,Scarlett,,19,https://www.babycenter.com.au/baby-names/most-popular/top-baby-names-2017,BabyCenter Australia top baby names 2017,Australia-wide BabyCenter ranking / rank only / top 100
2017,Australia,boy,Levi,,19,https://www.babycenter.com.au/baby-names/most-popular/top-baby-names-2017,BabyCenter Australia top baby names 2017,Australia-wide BabyCenter ranking / rank only / top 100
2017,Australia,girl,Matilda,,20,https://www.babycenter.com.au/baby-names/most-popular/top-baby-names-2017,BabyCenter Australia top baby names 2017,Australia-wide BabyCenter ranking / rank only / top 100
2017,Australia,boy,Max,,20,https://www.babycenter.com.au/baby-names/most-popular/top-baby-names-2017,BabyCenter Australia top baby names 2017,Australia-wide BabyCenter ranking / rank only / top 100
2017,Australia,girl,Lucy,,21,https://www.babycenter.com.au/baby-names/most-popular/top-baby-names-2017,BabyCenter Australia top baby names 2017,Australia-wide BabyCenter ranking / rank only / top 100
2017,Australia,boy,Ethan,,21,https://www.babycenter.com.au/baby-names/most-popular/top-baby-names-2017,BabyCenter Australia top baby names 2017,Australia-wide BabyCenter ranking / rank only / top 100
2017,Australia,girl,Sienna,,22,https://www.babycenter.com.au/baby-names/most-popular/top-baby-names-2017,BabyCenter Australia top baby names 2017,Australia-wide BabyCenter ranking / rank only / top 100
2017,Australia,boy,Logan,,22,https://www.babycenter.com.au/baby-names/most-popular/top-baby-names-2017,BabyCenter Australia top baby names 2017,Australia-wide BabyCenter ranking / rank only / top 100
2017,Australia,girl,Aria,,23,https://www.babycenter.com.au/baby-names/most-popular/top-baby-names-2017,BabyCenter Australia top baby names 2017,Australia-wide BabyCenter ranking / rank only / top 100
2017,Australia,boy,Elijah,,23,https://www.babycenter.com.au/baby-names/most-popular/top-baby-names-2017,BabyCenter Australia top baby names 2017,Australia-wide BabyCenter ranking / rank only / top 100
2017,Australia,girl,Emily,,24,https://www.babycenter.com.au/baby-names/most-popular/top-baby-names-2017,BabyCenter Australia top baby names 2017,Australia-wide BabyCenter ranking / rank only / top 100
2017,Australia,boy,Cooper,,24,https://www.babycenter.com.au/baby-names/most-popular/top-baby-names-2017,BabyCenter Australia top baby names 2017,Australia-wide BabyCenter ranking / rank only / top 100
2017,Australia,girl,Sophie,,25,https://www.babycenter.com.au/baby-names/most-popular/top-baby-names-2017,BabyCenter Australia top baby names 2017,Australia-wide BabyCenter ranking / rank only / top 100
2017,Australia,boy,Xavier,,25,https://www.babycenter.com.au/baby-names/most-popular/top-baby-names-2017,BabyCenter Australia top baby names 2017,Australia-wide BabyCenter ranking / rank only / top 100
2017,Australia,girl,Georgia,,26,https://www.babycenter.com.au/baby-names/most-popular/top-baby-names-2017,BabyCenter Australia top baby names 2017,Australia-wide BabyCenter ranking / rank only / top 100
2017,Australia,boy,Isaac,,26,https://www.babycenter.com.au/baby-names/most-popular/top-baby-names-2017,BabyCenter Australia top baby names 2017,Australia-wide BabyCenter ranking / rank only / top 100
2017,Australia,girl,Zara,,27,https://www.babycenter.com.au/baby-names/most-popular/top-baby-names-2017,BabyCenter Australia top baby names 2017,Australia-wide BabyCenter ranking / rank only / top 100
2017,Australia,boy,Sebastian,,27,https://www.babycenter.com.au/baby-names/most-popular/top-baby-names-2017,BabyCenter Australia top baby names 2017,Australia-wide BabyCenter ranking / rank only / top 100
2017,Australia,girl,Layla,,28,https://www.babycenter.com.au/baby-names/most-popular/top-baby-names-2017,BabyCenter Australia top baby names 2017,Australia-wide BabyCenter ranking / rank only / top 100
2017,Australia,boy,Finn,,28,https://www.babycenter.com.au/baby-names/most-popular/top-baby-names-2017,BabyCenter Australia top baby names 2017,Australia-wide BabyCenter ranking / rank only / top 100
2017,Australia,girl,Sophia,,29,https://www.babycenter.com.au/baby-names/most-popular/top-baby-names-2017,BabyCenter Australia top baby names 2017,Australia-wide BabyCenter ranking / rank only / top 100
2017,Australia,boy,Jacob,,29,https://www.babycenter.com.au/baby-names/most-popular/top-baby-names-2017,BabyCenter Australia top baby names 2017,Australia-wide BabyCenter ranking / rank only / top 100
2017,Australia,girl,Mila,,30,https://www.babycenter.com.au/baby-names/most-popular/top-baby-names-2017,BabyCenter Australia top baby names 2017,Australia-wide BabyCenter ranking / rank only / top 100
2017,Australia,boy,Lachlan,,30,https://www.babycenter.com.au/baby-names/most-popular/top-baby-names-2017,BabyCenter Australia top baby names 2017,Australia-wide BabyCenter ranking / rank only / top 100
2017,Australia,girl,Audrey,,31,https://www.babycenter.com.au/baby-names/most-popular/top-baby-names-2017,BabyCenter Australia top baby names 2017,Australia-wide BabyCenter ranking / rank only / top 100
